position,mask,active,move#,counts0,counts1,counts2,counts3,counts4,counts5,counts6
3514826752,4402138054784,1,11,500,100,200,100,3700,100,300
25378816,65257475,1,11,200,100,3400,100,400,700,100
25247746,34424864771,1,11,500,200,300,200,100,1800,1900
25247746,65126407,1,11,900,200,2300,100,200,500,800
272826496,300138625,1,11,200,300,2600,1200,400,100,200
3514826752,4402138054784,1,11,300,400,600,100,3300,100,200
34399617025,34425257985,1,12,100,100,4300,100,100,100,200
13194716250112,13202526044160,1,12,200,100,100,100,4300,100,100
4398879080448,4440759222272,1,12,100,100,100,500,4000,100,100
13194716250112,13202526044160,1,12,100,100,100,100,4300,200,100
4398623228032,4406433022080,1,12,200,100,100,100,4300,100,100
39878659,65519619,1,12,200,100,4300,100,100,100,100
34399617025,4432471375875,1,12,700,200,200,200,100,3300,300
39878661,65257479,1,12,1800,200,1000,200,100,1300,400
27312129,300400769,1,12,200,100,3400,1000,100,100,100
4398623228032,4406433022080,1,12,100,100,200,100,4200,100,200
25640960,34425782273,1,13,700,100,100,100,900,2500,600
7809794048,13211115978752,1,13,300,3300,500,300,100,100,400
41880141824,4449349156864,1,13,200,100,400,3700,100,400,100
7809794048,13211115978752,1,13,200,3900,200,100,100,100,400
7809794048,4415022956672,1,13,1200,1900,1200,200,100,200,200
25640960,66043907,1,13,300,200,100,200,400,3600,200
4398071758850,4501190852611,1,13,900,200,700,300,100,2500,300
25378818,65257487,1,13,100,200,3800,100,300,300,200
273088640,300925057,1,13,300,200,100,4100,100,100,100
7809794048,4415022956672,1,13,1500,2000,800,200,100,100,300
34400141313,103145259009,1,14,700,100,100,100,300,200,3500
13203306184704,13211115978880,1,14,200,2500,100,200,100,200,1700
4407469015040,4449382711296,1,14,600,200,400,100,100,100,3500
13203306184704,13211115978880,1,14,200,1100,100,100,100,200,3200
4407213162624,4415022956928,1,14,3700,200,400,100,100,200,300
40402947,34425782275,1,14,3100,400,100,200,100,900,200
103119093761,4638629806083,1,14,2900,300,400,400,300,300,400
39878669,65519631,1,14,200,100,4300,100,100,100,100
27836417,334479489,1,14,3400,200,100,300,300,300,400
4407213162624,4415022956928,1,14,3500,300,500,200,100,100,300
68745117696,4501191770113,1,15,100,100,100,100,4400,100,100
7809794176,13211115979136,1,15,400,1300,800,800,100,200,1400
41913696256,13245475733504,1,15,400,200,900,400,100,1900,1100
7809794176,30803302023296,1,15,100,300,100,100,100,100,4200
7809794304,4415022956929,1,15,100,100,4400,100,100,100,100
34385379328,34425782279,1,15,4300,100,100,100,100,200,100
4535510712322,4638629806087,1,15,1200,200,1800,200,200,1000,400
25640962,66043919,1,15,400,200,100,200,300,3600,200
306643072,334479491,1,15,500,500,100,400,2600,200,700
7809794304,4415022956929,1,15,100,100,4400,100,100,100,100
4432446652417,4501460205569,1,16,3100,200,100,200,200,700,500
13203306184960,30803302023552,1,16,400,1300,200,400,100,700,1900
13203562037248,13314195210240,1,16,100,400,100,200,100,200,3900
30795492229120,65987674112128,1,16,200,3900,100,100,100,400,200
4407213162625,4415022973313,1,16,400,600,300,300,100,200,3100
40402951,34425782287,1,16,200,100,100,300,100,4100,100
103119093765,4638629937159,1,16,2800,100,1100,200,100,300,400
40402957,34425782287,1,16,2800,600,100,300,100,800,300
27836419,871350403,1,16,3900,100,100,100,500,100,200
4407213162625,4415022973313,1,16,500,600,200,100,100,100,3400
69013553152,4501460205571,1,17,1400,100,100,200,1700,1300,200
17599995838592,65987674112384,1,17,1000,800,1200,600,100,200,1100
110633172992,30906381254656,1,17,100,100,100,100,100,100,4400
35192181883008,65987674112384,1,17,1400,1100,700,500,100,600,600
7809810688,13211115995521,1,17,300,1000,2300,200,100,100,1000
34385379336,103145259023,1,17,400,200,100,400,600,3000,300
4535510843394,4638629937167,1,17,200,100,4100,200,100,100,200
34385379330,34425782303,1,17,4300,100,100,100,100,200,100
843513984,871350407,1,17,4400,100,100,100,100,100,100
7809810688,13211115995521,1,17,200,1100,1000,300,100,100,2200
4432446652419,4501997076483,1,18,100,100,100,100,4400,100,100
48387678273792,65987674128768,1,18,100,100,4400,100,100,100,100
30795748081664,66090753343488,1,18,1000,300,1500,600,100,300,1200
30795492229376,65987674112385,1,18,1600,1300,200,500,100,1000,300
13203306184833,13211116028289,1,18,100,100,4300,100,100,100,200
68759879687,240584212495,1,18,1200,1400,100,800,100,300,1100
103119093773,4638630199311,1,18,100,100,4400,100,100,100,100
40402973,34425782335,1,18,100,500,100,200,100,3500,500
27836423,871350415,1,18,200,200,100,200,3800,200,300
13203306184833,30803302039937,1,18,400,1100,100,400,100,900,2000
69550424064,4503070818307,1,19,200,100,100,100,3900,500,100
35295005261824,66090753376256,1,19,100,200,3400,300,100,400,500
35192181883009,65987674112387,1,19,1100,700,1300,1100,100,400,300
7809843456,13211116093825,1,19,100,300,4100,100,100,100,200
171824332808,240584212623,1,19,100,4400,100,100,100,100,100
4535511105538,4638630723599,1,19,1700,200,100,400,200,1700,700
34385379362,103145259071,1,19,100,500,100,400,200,2900,800
843513992,1945092239,1,19,300,600,100,200,500,200,3100
17599995855104,65987674128769,1,19,500,1200,2300,400,100,100,400
4433520394243,4505218301955,1,20,3900,100,100,200,300,100,300
30795748114432,66090753441792,1,20,700,1000,1400,700,100,500,600
30795492229378,65987674128771,1,20,100,100,4400,100,100,100,100
13203306250369,13211116224897,1,20,300,100,300,300,100,400,3500
68759879815,240584212879,1,20,700,200,100,400,1500,1400,700
103119618061,4638630723615,1,20,400,700,100,200,200,2800,600
68759879709,240584212543,1,20,100,2600,100,600,100,1200,300
1101578247,4399991603343,1,20,200,100,100,200,2000,200,2200
48387678273665,65987674161537,1,20,100,100,4400,100,100,100,100
71697907712,4505218301959,1,21,4400,100,100,100,100,100,100
35295005327360,66090753572864,1,21,400,200,900,500,100,2400,500
7809974528,30803302269313,1,21,100,200,200,200,100,100,4100
171824333064,240852648335,1,21,100,100,100,100,4400,100,100
4535511105554,4913508630559,1,21,600,300,100,500,800,500,2200
171824332834,240584212671,1,21,100,300,100,700,1000,2100,700
4398890025096,13196084625551,1,21,100,300,100,200,900,100,3300
17599995887872,65987674227073,1,21,100,400,4000,100,100,100,200
4433520394247,4505218301967,1,22,200,400,100,900,1700,300,1400
30795748245504,66228192526336,1,22,200,400,200,200,100,3600,300
30795492294785,65987674358145,1,22,1500,100,1700,300,100,400,900
377997525005,13709601652767,1,22,200,300,100,200,200,100,3900
68759879837,515462119615,1,22,100,900,100,400,200,2700,600
8797194600455,30788270669967,1,22,200,200,100,400,3500,400,200
48387678339201,65987674358145,1,22,300,100,3400,400,100,500,200
71697907720,4509513269263,1,23,600,200,100,1200,800,1500,600
35432444280832,66503070433280,1,23,200,100,300,200,100,3800,300
35192182063360,65987674620289,1,23,1300,800,700,1200,100,100,800
13331604127762,31301787697183,1,23,1300,800,100,1100,900,600,200
446702239778,1065217933503,1,23,100,200,100,1000,1500,800,1300
21991076069512,30790418153615,1,23,300,400,100,200,3400,100,500
17599996018944,65987674620289,1,23,700,2600,500,500,100,200,400
4437815361543,4646952222735,1,24,100,100,100,100,100,4400,100
31070626152448,67052826247168,1,24,200,200,500,200,100,400,3400
30795492556929,65987674620291,1,24,1000,200,400,2200,100,400,700
17970183569421,31301787697215,1,24,100,1600,100,800,400,700,1300
618515693725,1065486368959,1,24,100,100,100,100,4400,100,100
8799342084103,30794713120911,1,24,300,200,100,600,600,900,2300
48387678601345,65987674620801,1,24,100,4400,100,100,100,100,100
209136861192,4921830129679,1,25,600,300,100,2300,800,400,500
35982200094720,137421570424832,1,25,100,100,4400,100,100,100,100
35192182063362,65987741729155,1,25,3500,400,600,100,100,100,200
13331604127794,31301787697343,1,25,100,600,100,1300,600,1600,700
21995371036808,65979085209743,1,25,200,1300,100,2000,1100,100,200
17599996019456,65987674621825,1,25,900,700,700,1200,100,1100,300
4712693268487,4921897238543,1,26,600,100,100,100,300,500,3300
30795559665793,65987741729159,1,26,2400,100,1100,100,100,500,700
17970183569549,31851543511231,1,26,100,500,100,1900,800,800,800
43983714172935,65979152318607,1,26,300,300,100,100,1000,2400,800
48387678602369,65987741730689,1,26,1700,800,1100,100,100,600,600
209203970056,13717990260751,1,27,300,400,100,100,700,600,2800
35192182063366,65987741729167,1,27,3500,500,400,100,100,100,300
13881359941682,31851610620095,1,27,100,700,100,100,700,2300,1000
21995438145672,66013512056975,1,27,200,2000,100,100,2000,200,400
17600063128320,65987741730691,1,27,1600,800,600,100,100,1100,700
13508786290695,31310176305167,1,28,500,600,100,100,2100,900,700
30795559665801,65987741729183,1,28,2200,200,900,100,100,900,600
17970250678413,32951122247871,1,28,100,200,100,100,200,100,4200
44018073911303,66022101991567,1,28,500,200,100,100,100,3500,500
48387678602371,65987741730695,1,28,700,1500,1400,100,100,300,900
17801390014472,31318766239759,1,29,1800,400,100,100,100,1900,600
35192182063382,65987741729215,1,29,100,1600,2700,100,100,100,300
14980871569458,68135494336703,1,29,100,200,100,100,200,100,4200
22004028080264,66090821468303,1,29,300,4000,100,100,100,100,300
17600063128324,65987741732743,1,29,2800,600,300,100,100,600,500
13517376225287,31868522053647,1,30,900,600,100,100,100,2900,300
30795559665833,65987742253503,1,30,100,400,100,100,100,1500,2700
53154622767245,138504238514367,1,30,100,100,100,100,100,100,4400
44086793388039,66090821468559,1,30,600,2600,100,100,100,700,800
48387678604419,65987741732751,1,30,4200,200,100,100,100,100,200
18351145828360,32968033681423,1,31,3700,300,100,100,100,100,600
35192182587670,136356486431167,1,31,100,3100,100,100,100,100,1400
85349615747122,279241726869695,1,31,100,2600,100,100,1900,100,100
22004028080520,66090821469071,1,31,100,4400,100,100,100,100,100
14616887853063,32968033681439,1,32,4200,300,100,100,100,100,100
101164303843497,136356486431679,1,32,100,3800,100,100,100,200,600
193892111122573,279241726869951,1,32,100,4400,100,100,100,100,100
18351145828376,32968033681471,1,33,100,1500,100,100,100,100,3000
35192182588182,136356486432703,1,33,100,1200,100,100,100,100,3300
14616887853095,68152405770303,1,34,100,100,100,100,100,100,4400
101164303844521,277093974788031,1,34,100,600,100,100,100,3900,100
175929670943510,277128334526399,1,35,100,100,100,100,100,4400,100
101198663582889,277197054003135,1,36,100,2000,100,100,100,2500,100
175998390420246,277334492956607,1,37,100,200,100,100,100,4300,100
